Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore,Chittoor (Andhra Pradesh) to Bangalore,APSRTC
APSRTC - 4612,NON AC Seater,19:15,04:00,08h 45m,483.0,30 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh),APSRTC
APSRTC - 4249,NON AC Seater,19:45,04:20,08h 35m,451.0,32 Seats available,3.4,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh),APSRTC
APSRTC - 4179,AC Sleeper,20:30,04:29,07h 59m,767.0,43 Seats available,4.5,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh),APSRTC
APSRTC - 4189,AC Seater,20:40,04:45,08h 05m,585.0,37 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh),APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh),APSRTC
APSRTC - 3009,NON AC Seater,15:45,00:45,09h 00m,605.0,32 Seats available,3.6,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam,APSRTC
APSRTC - 3492,AC Sleeper,16:00,23:00,07h 00m,929.0,43 Seats available,4.3,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam,APSRTC
APSRTC - 3466,NON AC Seater,16:30,01:05,08h 35m,605.0,32 Seats available,3.4,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,Vijayawada to Visakhapatnam,APSRTC
APSRTC - 5815,NON AC Seater,18:50,02:30,07h 40m,435.0,15 Seats available,3.4,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet,Hyderabad to Narasaraopet,APSRTC
APSRTC - 4529,NON AC Seater,20:45,04:00,07h 15m,394.0,28 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet,Hyderabad to Narasaraopet,APSRTC
APSRTC - 4538,NON AC Seater,20:45,04:00,07h 15m,394.0,29 Seats available,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet,Hyderabad to Narasaraopet,APSRTC
APSRTC - 5831,AC Seater,21:00,03:50,06h 50m,487.0,34 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet,Hyderabad to Narasaraopet,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet,Hyderabad to Narasaraopet,APSRTC
APSRTC - 50144,NON AC Seater,16:30,23:00,06h 30m,472.0,37 Seats available,2.5,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore,APSRTC
APSRTC - 6018,NON AC Seater,17:15,23:10,05h 55m,472.0,31 Seats available,3.7,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore,APSRTC
APSRTC - 6010,NON AC Seater,20:00,04:00,08h 00m,472.0,31 Seats available,3.6,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/kadapa-to-bangalore,Kadapa to Bangalore,APSRTC
